[1, 0]
[1034793, 35]
[1034869, 58]
[1034946, 17]
[1035022, 40]
[1035098, 63]
[1035175, 22]
[1035251, 45]
[1035328, 4]
[1035404, 27]
[1035480, 50]
[1035557, 9]
[1035633, 32]
[1035709, 56]
[1035786, 14]
[1035862, 37]
[1035938, 61]
[1036015, 19]
[1036091, 42]
[1036168, 1]
[1036244, 24]
[1036320, 48]
[1036397, 6]
[1036473, 29]
[1036549, 53]
[1036626, 11]
[1036702, 34]
[1036778, 58]
[1036855, 16]
[1036931, 39]
[1037007, 63]
[1037084, 21]
[1037160, 44]
[1037237, 3]
[1037313, 26]
[1037389, 50]
[1037466, 8]
[1037542, 31]
[1037618, 55]
[1037695, 13]
[1037771, 36]
[1037847, 60]
[1037924, 18]
[1038000, 41]
[1038077, 64]
[1038153, 23]
[1038229, 46]
[1038306, 5]
[1038382, 28]
[1038458, 52]
[1038535, 10]
[1038611, 33]
[1038687, 57]
[1038764, 15]
[1038840, 38]
[1038916, 62]
[1038993, 20]
[1039069, 43]
[1039146, 2]
[1039222, 25]
[1039298, 49]
[1039375, 7]
[1039451, 30]
[1039527, 54]
[1039604, 12]
[1039680, 35]
[1039756, 59]
[1039833, 17]
[1039909, 40]
[1039985, 64]
[1040062, 22]
[1040138, 45]
[1040215, 4]
[1040291, 27]
[1040367, 51]
[1040414, 96]
[1040453, 20]
[1040491, 73]
[1040529, 126]
[1040568, 49]
[1040606, 102]
[1040645, 26]
[1040683, 79]
[1040722, 3]
[1040760, 55]
[1040798, 108]
[1040837, 32]
[1040875, 85]
[1040914, 8]
[1040952, 61]
[1040990, 114]
[1041029, 38]
[1041067, 90]
[1041106, 14]
[1041144, 67]
[1041182, 120]
[1041221, 43]
[1041259, 96]
[1041298, 20]
[1041336, 73]
[1041374, 125]
[1041413, 49]
[1041451, 102]
[1041490, 26]
[1041528, 79]
[1041567, 2]
[1041605, 55]
[1041643, 108]
[1041682, 32]
[1041720, 84]
[1041759, 8]
[1041797, 61]
[1041835, 114]
[1041874, 37]
[1041912, 90]
[1041951, 14]
[1041989, 67]
[1042027, 119]
[1042066, 43]
[1042104, 96]
[1042143, 20]
[1042181, 73]
[1042219, 125]
[1042258, 49]
[1042315, 128]
[1042354, 52]
[1042392, 105]
[1042431, 29]
[1042469, 81]
[1042508, 5]
[1042546, 58]
[1042584, 111]
[1042623, 34]
[1042661, 87]
[1042700, 11]
[1042738, 64]
[1042776, 116]
[1042815, 40]
[1042853, 93]
[1042892, 17]
[1042930, 70]
[1042968, 122]
[1043007, 46]
[1043045, 99]
[1043084, 23]
[1043122, 75]
[1043160, 128]
[1043199, 52]
[1043237, 105]
[1043276, 28]
[1043314, 81]
[1043353, 5]
[1043391, 58]
[1043429, 110]
[1043468, 34]
[1043506, 87]
[1043545, 11]
[1043583, 64]
[1043621, 116]
[1043660, 40]
[1043698, 93]
[1043737, 17]
[1043775, 69]
[1043813, 122]
[1043852, 46]
[1043890, 99]
[1043929, 22]
[1043967, 75]
[1044005, 128]
[1044044, 52]
[1044082, 104]
[1044121, 28]
[1044159, 81]
[1044198, 5]
[1044236, 57]
[1044274, 110]
[1044313, 34]
[1044351, 87]
[1044390, 11]
[1044428, 63]
[1044466, 116]
[1044493, 49]
[1044512, 117]
[1044531, 184]
[1044550, 251]
[1044570, 62]
[1044589, 129]
[1044608, 197]
[1044628, 7]
[1044647, 75]
[1044666, 142]
[1044685, 209]
[1044705, 20]
[1044724, 87]
[1044743, 155]
[1044762, 222]
[1044782, 32]
[1044801, 100]
[1044820, 167]
[1044839, 235]
[1044859, 45]
[1044878, 113]
[1044897, 180]
[1044916, 247]
[1044936, 58]
[1044955, 125]
[1044974, 193]
[1044994, 3]
[1045013, 71]
[1045032, 138]
[1045051, 205]
[1045071, 16]
[1045090, 83]
[1045109, 151]
[1045128, 218]
[1045148, 28]
[1045167, 96]
[1045186, 163]
[1045205, 231]
[1045225, 41]
[1045244, 109]
[1045263, 176]
[1045282, 243]
[1045302, 54]
[1045321, 121]
[1045340, 189]
[1045359, 256]
[1045379, 66]
[1045398, 134]
[1045417, 201]
[1045437, 12]
[1045456, 79]
[1045475, 147]
[1045494, 214]
[1045514, 24]
[1045533, 92]
[1045552, 159]
[1045571, 227]
[1045591, 37]
[1045610, 105]
[1045629, 172]
[1045648, 239]
[1045668, 50]
[1045687, 117]
[1045706, 185]
[1045725, 252]
[1045754, 225]
[1045774, 35]
[1045793, 103]
[1045812, 170]
[1045831, 237]
[1045851, 48]
[1045870, 115]
[1045889, 183]
[1045908, 250]
[1045928, 60]
[1045947, 128]
[1045966, 195]
[1045986, 6]
[1046005, 73]
[1046024, 141]
[1046043, 208]
[1046063, 18]
[1046082, 86]
[1046101, 153]
[1046120, 221]
[1046140, 31]
[1046159, 99]
[1046178, 166]
[1046197, 233]
[1046217, 44]
[1046236, 111]
[1046255, 179]
[1046274, 246]
[1046294, 56]
[1046313, 124]
[1046332, 191]
[1046352, 2]
[1046371, 69]
[1046390, 137]
[1046409, 204]
[1046429, 14]
[1046448, 82]
[1046467, 149]
[1046486, 217]
[1046506, 27]
[1046525, 95]
[1046536, 424]
[1046546, 243]
[1046556, 61]
[1046565, 392]
[1046575, 210]
[1046585, 29]
[1046594, 360]
[1046604, 178]
[1046613, 509]
[1046623, 328]
[1046633, 146]
[1046642, 477]
[1046652, 295]
[1046662, 114]
[1046671, 445]
[1046681, 263]
[1046691, 81]
[1046700, 413]
[1046710, 231]
[1046720, 49]
[1046729, 380]
[1046739, 199]
[1046749, 17]
[1046758, 348]
[1046768, 166]
[1046777, 497]
[1046787, 316]
[1046797, 134]
[1046806, 465]
[1046816, 283]
[1046826, 102]
[1046835, 433]
[1046845, 251]
[1046855, 69]
[1046864, 401]
[1046874, 219]
[1046884, 37]
[1046893, 368]
[1046903, 187]
[1046913, 5]
[1046922, 336]
[1046932, 154]
[1046941, 485]
[1046951, 304]
[1046961, 122]
[1046970, 453]
[1046980, 271]
[1046990, 90]
[1046999, 421]
[1047009, 239]
[1047019, 57]
[1047028, 389]
[1047038, 207]
[1047048, 25]
[1047057, 356]
[1047067, 175]
[1047076, 506]
[1047086, 324]
[1047096, 142]
[1047105, 474]
[1047115, 292]
[1047125, 110]
[1047134, 441]
[1047144, 260]
[1047154, 78]
[1047163, 409]
[1047173, 227]
[1047183, 46]
[1047192, 377]
[1047202, 195]
[1047212, 13]
[1047221, 345]
[1047231, 163]
[1047240, 494]
[1047250, 312]
[1047260, 131]
[1047269, 462]
[1047284, 189]
[1047294, 7]
[1047303, 339]
[1047313, 157]
[1047322, 488]
[1047332, 307]
[1047342, 125]
[1047351, 456]
[1047361, 274]
[1047371, 93]
[1047380, 424]
[1047390, 242]
[1047400, 60]
[1047409, 392]
[1047419, 210]
[1047429, 28]
[1047438, 359]
[1047448, 178]
[1047457, 509]
[1047467, 327]
[1047477, 145]
[1047486, 477]
[1047496, 295]
[1047506, 113]
[1047515, 444]
[1047525, 263]
[1047535, 81]
[1047544, 412]
[1047553, 743]
[1047558, 565]
[1047563, 387]
[1047568, 209]
[1047573, 32]
[1047577, 879]
[1047582, 701]
[1047587, 523]
[1047592, 345]
[1047597, 167]
[1047601, 1014]
[1047606, 836]
[1047611, 659]
[1047616, 481]
[1047621, 303]
[1047626, 125]
[1047630, 972]
[1047635, 794]
[1047640, 616]
[1047645, 439]
[1047650, 261]
[1047655, 83]
[1047659, 930]
[1047664, 752]
[1047669, 574]
[1047674, 396]
[1047679, 219]
[1047684, 41]
[1047688, 888]
[1047693, 710]
[1047698, 532]
[1047703, 354]
[1047708, 176]
[1047712, 1023]
[1047717, 846]
[1047722, 668]
[1047727, 490]
[1047732, 312]
[1047737, 134]
[1047741, 981]
[1047746, 803]
[1047751, 626]
[1047756, 448]
[1047761, 270]
[1047766, 92]
[1047770, 939]
[1047775, 761]
[1047780, 583]
[1047785, 406]
[1047790, 228]
[1047795, 50]
[1047799, 897]
[1047804, 719]
[1047809, 541]
[1047814, 363]
[1047819, 186]
[1047824, 8]
[1047828, 855]
[1047833, 677]
[1047838, 499]
[1047843, 321]
[1047848, 143]
[1047852, 990]
[1047857, 813]
[1047862, 635]
[1047867, 457]
[1047872, 279]
[1047877, 101]
[1047881, 948]
[1047886, 770]
[1047891, 593]
[1047896, 415]
[1047901, 237]
[1047906, 59]
[1047910, 906]
[1047915, 728]
[1047920, 550]
[1047925, 373]
[1047930, 195]
[1047935, 17]
[1047939, 864]
[1047944, 686]
[1047949, 508]
[1047954, 330]
[1047959, 153]
[1047963, 1000]
[1047968, 822]
[1047973, 644]
[1047978, 466]
[1047985, 712]
[1047990, 534]
[1047995, 356]
[1048000, 178]
[1048005, 1024]
[1048009, 847]
[1048014, 670]
[1048019, 492]
[1048024, 314]
[1048029, 136]
[1048033, 983]
[1048038, 805]
[1048043, 627]
[1048048, 450]
[1048053, 272]
[1048058, 94]
[1048062, 941]
[1048066, 764]
[1048068, 1612]
[1048071, 412]
[1048073, 1261]
[1048076, 60]
[1048078, 909]
[1048080, 1758]
[1048083, 557]
[1048085, 1406]
[1048088, 206]
[1048090, 1054]
[1048092, 1903]
[1048095, 702]
[1048097, 1551]
[1048100, 351]
[1048102, 1199]
[1048104, 2048]
[1048107, 848]
[1048109, 1696]
[1048112, 496]
[1048114, 1344]
[1048117, 144]
[1048119, 993]
[1048121, 1841]
[1048124, 641]
[1048126, 1489]
[1048129, 289]
[1048131, 1138]
[1048133, 1986]
[1048136, 786]
[1048138, 1634]
[1048141, 434]
[1048143, 1283]
[1048146, 82]
[1048148, 931]
[1048150, 1780]
[1048153, 579]
[1048155, 1428]
[1048158, 228]
[1048160, 1076]
[1048162, 1925]
[1048165, 724]
[1048167, 1573]
[1048170, 373]
[1048172, 1221]
[1048175, 21]
[1048177, 870]
[1048179, 1718]
[1048182, 518]
[1048184, 1366]
[1048187, 166]
[1048189, 1015]
[1048191, 1863]
[1048194, 663]
[1048196, 1511]
[1048199, 311]
[1048201, 1160]
[1048203, 2008]
[1048206, 808]
[1048208, 1656]
[1048211, 456]
[1048213, 1305]
[1048216, 104]
[1048218, 953]
[1048220, 1802]
[1048223, 601]
[1048225, 1450]
[1048228, 250]
[1048230, 1098]
[1048232, 1947]
[1048235, 746]
[1048237, 1595]
[1048240, 395]
[1048242, 1243]
[1048245, 43]
[1048247, 892]
[1048249, 1740]
[1048252, 540]
[1048254, 1388]
[1048257, 188]
[1048259, 1037]
[1048261, 1885]
[1048264, 685]
[1048266, 1533]
[1048269, 333]
[1048271, 1182]
[1048273, 2030]
[1048276, 830]
[1048278, 1678]
[1048281, 478]
[1048283, 1327]
[1048286, 126]
[1048288, 975]
[1048290, 1824]
[1048293, 623]
[1048295, 1472]
[1048298, 272]
[1048300, 1120]
[1048302, 1969]
[1048305, 768]
[1048307, 1617]
[1048310, 417]
[1048312, 1265]
[1048316, 489]
[1048318, 1338]
[1048321, 138]
[1048322, 987]
[1048323, 1836]
[1048324, 2685]
[1048325, 3535]
[1048327, 287]
[1048328, 1136]
[1048329, 1986]
[1048330, 2835]
[1048331, 3684]
[1048333, 437]
[1048334, 1286]
[1048335, 2135]
[1048336, 2985]
[1048337, 3834]
[1048339, 587]
[1048340, 1436]
[1048341, 2285]
[1048342, 3134]
[1048343, 3984]
[1048345, 736]
[1048346, 1585]
[1048347, 2435]
[1048348, 3284]
[1048350, 37]
[1048351, 886]
[1048352, 1735]
[1048353, 2584]
[1048354, 3434]
[1048356, 186]
[1048357, 1035]
[1048358, 1885]
[1048359, 2734]
[1048360, 3583]
[1048362, 336]
[1048363, 1185]
[1048364, 2034]
[1048365, 2884]
[1048366, 3733]
[1048368, 486]
[1048369, 1335]
[1048370, 2184]
[1048371, 3033]
[1048372, 3883]
[1048374, 635]
[1048375, 1484]
[1048376, 2334]
[1048377, 3183]
[1048378, 4032]
[1048380, 785]
[1048381, 1634]
[1048382, 2483]
[1048383, 3333]
[1048385, 85]
[1048386, 934]
[1048387, 1784]
[1048388, 2633]
[1048389, 3482]
[1048391, 235]
[1048392, 1084]
[1048393, 1933]
[1048394, 2783]
[1048395, 3632]
[1048397, 385]
[1048398, 1234]
[1048399, 2083]
[1048400, 2932]
[1048401, 3782]
[1048403, 534]
[1048404, 1383]
